urban,sub_district,city,postal_code,province_code
PABAUNGAN HULU,CANDI LARAS SELATAN,TAPIN,71162,63
PABAUNGAN PANTAI,CANDI LARAS SELATAN,TAPIN,71162,63
PACAKAN,KUSAN HULU,TANAH BUMBU,72272,63
PADANG BANGKAL,SUNGAI PANDAN,HULU SUNGAI UTARA,71455,63
PADANG BASAR HILIR,AMUNTAI UTARA,HULU SUNGAI UTARA,71471,63
PADANG BASAR HULU,AMUNTAI UTARA,HULU SUNGAI UTARA,71471,63
PADANG BATUNG,PADANG BATUNG,HULU SUNGAI SELATAN,71281,63
PADANG DARAT,AMUNTAI SELATAN,HULU SUNGAI UTARA,71452,63
PADANG LUAR,AMUNTAI UTARA,HULU SUNGAI UTARA,71471,63
PADANG LUAS,KURAU,TANAH LAUT,70853,63
PADANG PANJANG,KARANG INTAN,BANJAR,70661,63
PADANG PANJANG,TANTA,TABALONG,71561,63
PADANG RAYA,HALONG,BALANGAN,71666,63
PADANG SARI,BINUANG,TAPIN,71183,63
PADANG TANGGUL,AMUNTAI SELATAN,HULU SUNGAI UTARA,71452,63
PADANG,BATI-BATI,TANAH LAUT,70852,63
PADANGIN,MUARA HARUS,TABALONG,71555,63
PADANGIN,TANTA,TABALONG,71561,63
PAGAR RUYUNG,KUSAN HILIR,TANAH BUMBU,72273,63
PAGAT,BATU BENAWA,HULU SUNGAI TENGAH,71371,63
PAHALATAN,LABUAN AMAS UTARA,HULU SUNGAI TENGAH,71362,63
PAHAMPANGAN,PADANG BATUNG,HULU SUNGAI SELATAN,71281,63
PAHARANGAN,DAHA UTARA,HULU SUNGAI SELATAN,71253,63
PAJUKUNGAN HILIR,BABIRIK,HULU SUNGAI UTARA,71454,63
PAJUKUNGAN HULU,BABIRIK,HULU SUNGAI UTARA,71454,63
PAJUKUNGAN,BARABAI,HULU SUNGAI TENGAH,71315,63
PAKACANGAN,AMUNTAI UTARA,HULU SUNGAI UTARA,71471,63
PAKAN DALAM,DAHA UTARA,HULU SUNGAI SELATAN,71253,63
PAKAPURAN KECIL,DAHA UTARA,HULU SUNGAI SELATAN,71253,63
PAKAPURAN,AMUNTAI UTARA,HULU SUNGAI UTARA,71471,63
PAKATELLU,KUSAN HILIR,TANAH BUMBU,72273,63
PAKU ALAM,SEI / SUNGAI TABUK,BANJAR,70653,63
PAKU,SIMPANG EMPAT,BANJAR,70673,63
PAKUAN TIMUR,TELAGA LANGSAT,HULU SUNGAI SELATAN,71292,63
PAKUTIK,SEI / SUNGAI PINANG,BANJAR,70675,63
PAL BATU,PAMINGGIR,HULU SUNGAI UTARA,71453,63
PALAJAU,PANDAWAN,HULU SUNGAI TENGAH,71352,63
PALAM,CEMPAKA,BANJARBARU,70731,63
PALAMPITAN HILIR,AMUNTAI TENGAH,HULU SUNGAI UTARA,71419,63
PALAMPITAN HULU,AMUNTAI TENGAH,HULU SUNGAI UTARA,71419,63
PALANJUNGAN SARI,BANJANG,HULU SUNGAI UTARA,71416,63
PALIAT,KELUA (KLUA),TABALONG,71552,63
PALIMBANGAN GUSTI,HAUR GADING,HULU SUNGAI UTARA,71471,63
PALIMBANGAN SARI,HAUR GADING,HULU SUNGAI UTARA,71471,63
PALIMBANGAN,HAUR GADING,HULU SUNGAI UTARA,71471,63
PALINGKAU,BAKUMPAI,BARITO KUALA,70513,63
PALIWARA,AMUNTAI TENGAH,HULU SUNGAI UTARA,71418,63
PALUKAHAN,DANAU PANGGANG,HULU SUNGAI UTARA,71453,63
PAMALUNGAN (PAMALONGAN),BAJUIN,TANAH LAUT,70815,63
PAMARANGAN KANAN,TANTA,TABALONG,71561,63
PAMARANGAN KIWA,TANJUNG,TABALONG,71515,63
PAMINGGIR SEBERANG,PAMINGGIR,HULU SUNGAI UTARA,71453,63
PAMINGGIR,PAMINGGIR,HULU SUNGAI UTARA,71453,63
PAMINTANGAN,AMUNTAI UTARA,HULU SUNGAI UTARA,71471,63
PAMPANAN,PUGAAN,TABALONG,71554,63
